Sucursal,Hora,Cantidad
CULIACAN CAÑADAS,08:50:00,8
CULIACAN CAÑADAS,09:00:00,7
CULIACAN CAÑADAS,09:10:00,7
CULIACAN CAÑADAS,09:20:00,6
CULIACAN CAÑADAS,09:30:00,5
CULIACAN CAÑADAS,09:40:00,5
CULIACAN CAÑADAS,09:50:00,4
CULIACAN CAÑADAS,10:00:00,4
CULIACAN CAÑADAS,10:10:00,4
CULIACAN CAÑADAS,10:20:00,4
CULIACAN CAÑADAS,10:30:00,4
CULIACAN CAÑADAS,10:40:00,4
CULIACAN CAÑADAS,10:50:00,4
CULIACAN CAÑADAS,11:00:00,3
CULIACAN CAÑADAS,11:10:00,3
CULIACAN CAÑADAS,11:20:00,3
CULIACAN CAÑADAS,11:30:00,3
CULIACAN CAÑADAS,11:40:00,3
CULIACAN CAÑADAS,11:50:00,3
CULIACAN CAÑADAS,12:00:00,3
CULIACAN CAÑADAS,12:10:00,3
CULIACAN CAÑADAS,12:20:00,3
CULIACAN CAÑADAS,12:30:00,2
CULIACAN CAÑADAS,12:40:00,2
CULIACAN CAÑADAS,12:50:00,3
CULIACAN CAÑADAS,13:00:00,3
CULIACAN CAÑADAS,13:10:00,2
CULIACAN CAÑADAS,13:20:00,2
CULIACAN CAÑADAS,13:30:00,3
CULIACAN CAÑADAS,13:40:00,2
CULIACAN CAÑADAS,13:50:00,2
CULIACAN CAÑADAS,14:00:00,2
CULIACAN CAÑADAS,14:10:00,2
CULIACAN CAÑADAS,14:20:00,2
CULIACAN CAÑADAS,14:30:00,2
CULIACAN CAÑADAS,14:40:00,2
CULIACAN CAÑADAS,14:50:00,2
CULIACAN CAÑADAS,15:00:00,2
CULIACAN CAÑADAS,15:10:00,3
CULIACAN CAÑADAS,15:20:00,2
CULIACAN CAÑADAS,15:30:00,2
CULIACAN CAÑADAS,15:40:00,2
CULIACAN CAÑADAS,15:50:00,2
CULIACAN CAÑADAS,16:00:00,2
CULIACAN CAÑADAS,16:10:00,2
CULIACAN CAÑADAS,16:20:00,2
CULIACAN CAÑADAS,16:30:00,2
CULIACAN CAÑADAS,16:40:00,2
CULIACAN CAÑADAS,16:50:00,2
CULIACAN CAÑADAS,17:00:00,2
CULIACAN CAÑADAS,17:10:00,2
CULIACAN CAÑADAS,17:20:00,2
CULIACAN CAÑADAS,17:30:00,2
CULIACAN CAÑADAS,17:40:00,2
CULIACAN CAÑADAS,17:50:00,2
CULIACAN CAÑADAS,18:00:00,1
CULIACAN COLEGIO MILITAR,06:00:00,1
CULIACAN COLEGIO MILITAR,06:10:00,2
CULIACAN COLEGIO MILITAR,06:20:00,3
CULIACAN COLEGIO MILITAR,06:30:00,3
CULIACAN COLEGIO MILITAR,06:40:00,4
CULIACAN COLEGIO MILITAR,06:50:00,5
CULIACAN COLEGIO MILITAR,07:00:00,6
CULIACAN COLEGIO MILITAR,07:10:00,8
CULIACAN COLEGIO MILITAR,07:20:00,8
CULIACAN COLEGIO MILITAR,07:30:00,9
CULIACAN COLEGIO MILITAR,07:40:00,8
CULIACAN COLEGIO MILITAR,07:50:00,8
CULIACAN COLEGIO MILITAR,08:00:00,8
CULIACAN COLEGIO MILITAR,08:10:00,8
CULIACAN COLEGIO MILITAR,08:20:00,8
CULIACAN COLEGIO MILITAR,08:30:00,8
CULIACAN COLEGIO MILITAR,08:40:00,8
CULIACAN COLEGIO MILITAR,08:50:00,7
CULIACAN COLEGIO MILITAR,09:00:00,7
CULIACAN COLEGIO MILITAR,09:10:00,6
CULIACAN COLEGIO MILITAR,09:20:00,6
CULIACAN COLEGIO MILITAR,09:30:00,7
CULIACAN COLEGIO MILITAR,09:40:00,6
CULIACAN COLEGIO MILITAR,09:50:00,7
CULIACAN COLEGIO MILITAR,10:00:00,5
CULIACAN COLEGIO MILITAR,10:10:00,5
CULIACAN COLEGIO MILITAR,10:20:00,5
CULIACAN COLEGIO MILITAR,10:30:00,4
CULIACAN COLEGIO MILITAR,10:40:00,5
CULIACAN COLEGIO MILITAR,10:50:00,4
CULIACAN COLEGIO MILITAR,11:00:00,4
CULIACAN COLEGIO MILITAR,11:10:00,4
CULIACAN COLEGIO MILITAR,11:20:00,4
CULIACAN COLEGIO MILITAR,11:30:00,4
CULIACAN COLEGIO MILITAR,11:40:00,3
CULIACAN COLEGIO MILITAR,11:50:00,3
CULIACAN COLEGIO MILITAR,12:00:00,3
CULIACAN COLEGIO MILITAR,12:10:00,3
CULIACAN COLEGIO MILITAR,12:20:00,2
CULIACAN COLEGIO MILITAR,12:30:00,2
CULIACAN COLEGIO MILITAR,12:40:00,3
CULIACAN COLEGIO MILITAR,12:50:00,2
CULIACAN COLEGIO MILITAR,13:00:00,2
CULIACAN COLEGIO MILITAR,13:10:00,2
CULIACAN COLEGIO MILITAR,13:20:00,2
CULIACAN COLEGIO MILITAR,13:30:00,2
CULIACAN COLEGIO MILITAR,13:40:00,2
CULIACAN COLEGIO MILITAR,13:50:00,2
CULIACAN COLEGIO MILITAR,14:00:00,2
CULIACAN COLEGIO MILITAR,14:10:00,2
CULIACAN COLEGIO MILITAR,14:20:00,2
CULIACAN COLEGIO MILITAR,14:30:00,2
CULIACAN COLEGIO MILITAR,14:40:00,3
CULIACAN COLEGIO MILITAR,14:50:00,2
CULIACAN COLEGIO MILITAR,15:00:00,2
CULIACAN COLEGIO MILITAR,15:10:00,3
CULIACAN COLEGIO MILITAR,15:20:00,3
CULIACAN COLEGIO MILITAR,15:30:00,3
CULIACAN COLEGIO MILITAR,15:40:00,3
CULIACAN COLEGIO MILITAR,15:50:00,3
CULIACAN COLEGIO MILITAR,16:00:00,3
CULIACAN COLEGIO MILITAR,16:10:00,2
CULIACAN COLEGIO MILITAR,16:20:00,2
CULIACAN COLEGIO MILITAR,16:30:00,2
CULIACAN COLEGIO MILITAR,16:40:00,2
CULIACAN COLEGIO MILITAR,16:50:00,2
CULIACAN COLEGIO MILITAR,17:00:00,2
CULIACAN COLEGIO MILITAR,17:10:00,2
CULIACAN COLEGIO MILITAR,17:20:00,2
CULIACAN COLEGIO MILITAR,17:30:00,1
CULIACAN COLEGIO MILITAR,17:40:00,2
CULIACAN COLEGIO MILITAR,17:50:00,1
CULIACAN LA CONQUISTA,06:30:00,2
CULIACAN LA CONQUISTA,06:40:00,2
CULIACAN LA CONQUISTA,06:50:00,2
CULIACAN LA CONQUISTA,07:00:00,3
CULIACAN LA CONQUISTA,07:10:00,4
CULIACAN LA CONQUISTA,07:20:00,4
CULIACAN LA CONQUISTA,07:30:00,4
CULIACAN LA CONQUISTA,07:40:00,4
CULIACAN LA CONQUISTA,07:50:00,4
CULIACAN LA CONQUISTA,08:00:00,4
CULIACAN LA CONQUISTA,08:10:00,3
CULIACAN LA CONQUISTA,08:20:00,4
CULIACAN LA CONQUISTA,08:30:00,4
CULIACAN LA CONQUISTA,08:40:00,3
CULIACAN LA CONQUISTA,08:50:00,3
CULIACAN LA CONQUISTA,09:00:00,3
CULIACAN LA CONQUISTA,09:10:00,3
CULIACAN LA CONQUISTA,09:20:00,3
CULIACAN LA CONQUISTA,09:30:00,2
CULIACAN LA CONQUISTA,09:40:00,2
CULIACAN LA CONQUISTA,09:50:00,3
CULIACAN LA CONQUISTA,10:00:00,2
CULIACAN LA CONQUISTA,10:10:00,2
CULIACAN LA CONQUISTA,10:20:00,2
CULIACAN LA CONQUISTA,10:30:00,2
CULIACAN LA CONQUISTA,10:40:00,2
CULIACAN LA CONQUISTA,10:50:00,2
CULIACAN LA CONQUISTA,11:00:00,2
CULIACAN LA CONQUISTA,11:10:00,2
CULIACAN LA CONQUISTA,11:20:00,2
CULIACAN LA CONQUISTA,11:30:00,2
CULIACAN LA CONQUISTA,11:40:00,2
CULIACAN LA CONQUISTA,11:50:00,2
CULIACAN LA CONQUISTA,12:00:00,1
CULIACAN LA CONQUISTA,12:10:00,2
CULIACAN LA CONQUISTA,12:20:00,2
CULIACAN LA CONQUISTA,12:30:00,1
CULIACAN LA CONQUISTA,12:40:00,1
CULIACAN LA CONQUISTA,12:50:00,1
CULIACAN LA CONQUISTA,13:00:00,2
CULIACAN LA CONQUISTA,13:10:00,1
CULIACAN LA CONQUISTA,13:20:00,1
CULIACAN LA CONQUISTA,13:30:00,1
CULIACAN LA CONQUISTA,13:40:00,1
CULIACAN LA CONQUISTA,13:50:00,1
CULIACAN LA CONQUISTA,14:00:00,1
CULIACAN LA CONQUISTA,14:10:00,1
CULIACAN LA CONQUISTA,14:20:00,1
CULIACAN LA CONQUISTA,14:30:00,1
CULIACAN LA CONQUISTA,14:40:00,2
CULIACAN LA CONQUISTA,14:50:00,1
CULIACAN LAS TORRES,06:00:00,1
CULIACAN LAS TORRES,06:10:00,2
CULIACAN LAS TORRES,06:20:00,2
CULIACAN LAS TORRES,06:30:00,2
CULIACAN LAS TORRES,06:40:00,2
CULIACAN LAS TORRES,06:50:00,4
CULIACAN LAS TORRES,07:00:00,4
CULIACAN LAS TORRES,07:10:00,4
CULIACAN LAS TORRES,07:20:00,5
CULIACAN LAS TORRES,07:30:00,4
CULIACAN LAS TORRES,07:40:00,4
CULIACAN LAS TORRES,07:50:00,4
CULIACAN LAS TORRES,08:00:00,4
CULIACAN LAS TORRES,08:10:00,4
CULIACAN LAS TORRES,08:20:00,4
CULIACAN LAS TORRES,08:30:00,4
CULIACAN LAS TORRES,08:40:00,4
CULIACAN LAS TORRES,08:50:00,3
CULIACAN LAS TORRES,09:00:00,3
CULIACAN LAS TORRES,09:10:00,3
CULIACAN LAS TORRES,09:20:00,3
CULIACAN LAS TORRES,09:30:00,3
CULIACAN LAS TORRES,09:40:00,3
CULIACAN LAS TORRES,09:50:00,2
CULIACAN LAS TORRES,10:00:00,3
CULIACAN LAS TORRES,10:10:00,2
CULIACAN LAS TORRES,10:20:00,2
CULIACAN LAS TORRES,10:30:00,2
CULIACAN LAS TORRES,10:40:00,2
CULIACAN LAS TORRES,10:50:00,2
CULIACAN LAS TORRES,11:00:00,2
CULIACAN LAS TORRES,11:10:00,2
CULIACAN LAS TORRES,11:20:00,2
CULIACAN LAS TORRES,11:30:00,2
CULIACAN LAS TORRES,11:40:00,2
CULIACAN LAS TORRES,11:50:00,2
CULIACAN LAS TORRES,12:00:00,2
CULIACAN LAS TORRES,12:10:00,1
CULIACAN LAS TORRES,12:20:00,2
CULIACAN LAS TORRES,12:30:00,1
CULIACAN LAS TORRES,12:40:00,1
CULIACAN LAS TORRES,12:50:00,1
CULIACAN LAS TORRES,13:00:00,1
CULIACAN LAS TORRES,13:10:00,2
CULIACAN LAS TORRES,13:20:00,2
CULIACAN LAS TORRES,13:30:00,2
CULIACAN LAS TORRES,13:40:00,2
CULIACAN LAS TORRES,13:50:00,1
CULIACAN LAS TORRES,14:00:00,2
CULIACAN LAS TORRES,14:10:00,2
CULIACAN LAS TORRES,14:20:00,2
CULIACAN LAS TORRES,14:30:00,2
CULIACAN LAS TORRES,14:40:00,2
CULIACAN LAS TORRES,14:50:00,1
CULIACAN LAS TORRES,15:00:00,1
CULIACAN LAS TORRES,15:10:00,1
CULIACAN LAS TORRES,15:20:00,1
CULIACAN LAS TORRES,15:30:00,2
CULIACAN LAS TORRES,15:40:00,1
CULIACAN LAS TORRES,15:50:00,1
CULIACAN LAS TORRES,16:00:00,1
CULIACAN LAS TORRES,16:10:00,2
CULIACAN LAS TORRES,16:20:00,2
CULIACAN LAS TORRES,16:30:00,1
CULIACAN LAS TORRES,16:40:00,1
CULIACAN LAS TORRES,16:50:00,2
CULIACAN LAS TORRES,17:00:00,1
CULIACAN LAS TORRES,17:10:00,1
CULIACAN LAS TORRES,17:20:00,1
CULIACAN LAS TORRES,17:30:00,1
CULIACAN LAS TORRES,17:40:00,1
CULIACAN LAS TORRES,17:50:00,1
CULIACAN NAKAYAMA,06:30:00,2
CULIACAN NAKAYAMA,06:40:00,2
CULIACAN NAKAYAMA,06:50:00,3
CULIACAN NAKAYAMA,07:00:00,3
CULIACAN NAKAYAMA,07:10:00,4
CULIACAN NAKAYAMA,07:20:00,4
CULIACAN NAKAYAMA,07:30:00,4
CULIACAN NAKAYAMA,07:40:00,3
CULIACAN NAKAYAMA,07:50:00,3
CULIACAN NAKAYAMA,08:00:00,3
CULIACAN NAKAYAMA,08:10:00,4
CULIACAN NAKAYAMA,08:20:00,4
CULIACAN NAKAYAMA,08:30:00,3
CULIACAN NAKAYAMA,08:40:00,3
CULIACAN NAKAYAMA,08:50:00,2
CULIACAN NAKAYAMA,09:00:00,3
CULIACAN NAKAYAMA,09:10:00,2
CULIACAN NAKAYAMA,09:20:00,3
CULIACAN NAKAYAMA,09:30:00,2
CULIACAN NAKAYAMA,09:40:00,2
CULIACAN NAKAYAMA,09:50:00,2
CULIACAN NAKAYAMA,10:00:00,2
CULIACAN NAKAYAMA,10:10:00,2
CULIACAN NAKAYAMA,10:20:00,2
CULIACAN NAKAYAMA,10:30:00,2
CULIACAN NAKAYAMA,10:40:00,2
CULIACAN NAKAYAMA,10:50:00,1
CULIACAN NAKAYAMA,11:00:00,1
CULIACAN NAKAYAMA,11:10:00,1
CULIACAN NAKAYAMA,11:20:00,2
CULIACAN NAKAYAMA,11:30:00,2
CULIACAN NAKAYAMA,11:40:00,2
CULIACAN NAKAYAMA,11:50:00,1
CULIACAN NAKAYAMA,12:00:00,1
CULIACAN NAKAYAMA,12:10:00,2
CULIACAN NAKAYAMA,12:20:00,1
CULIACAN NAKAYAMA,12:30:00,2
CULIACAN NAKAYAMA,12:40:00,1
CULIACAN NAKAYAMA,12:50:00,1
CULIACAN NAKAYAMA,13:00:00,1
CULIACAN NAKAYAMA,13:10:00,1
CULIACAN NAKAYAMA,13:20:00,1
CULIACAN NAKAYAMA,13:30:00,1
CULIACAN NAKAYAMA,13:40:00,1
CULIACAN NAKAYAMA,13:50:00,1
CULIACAN NAKAYAMA,14:00:00,1
CULIACAN NAKAYAMA,14:10:00,1
CULIACAN NAKAYAMA,14:20:00,1
CULIACAN NAKAYAMA,14:30:00,1
CULIACAN NAKAYAMA,14:40:00,2
CULIACAN NAKAYAMA,14:50:00,2
CULIACAN UNIVERSITARIOS,06:00:00,2
CULIACAN UNIVERSITARIOS,06:10:00,2
CULIACAN UNIVERSITARIOS,06:20:00,2
CULIACAN UNIVERSITARIOS,06:30:00,3
CULIACAN UNIVERSITARIOS,06:40:00,3
CULIACAN UNIVERSITARIOS,06:50:00,4
CULIACAN UNIVERSITARIOS,07:00:00,6
CULIACAN UNIVERSITARIOS,07:10:00,8
CULIACAN UNIVERSITARIOS,07:20:00,8
CULIACAN UNIVERSITARIOS,07:30:00,8
CULIACAN UNIVERSITARIOS,07:40:00,8
CULIACAN UNIVERSITARIOS,07:50:00,7
CULIACAN UNIVERSITARIOS,08:00:00,8
CULIACAN UNIVERSITARIOS,08:10:00,8
CULIACAN UNIVERSITARIOS,08:20:00,9
CULIACAN UNIVERSITARIOS,08:30:00,8
CULIACAN UNIVERSITARIOS,08:40:00,7
CULIACAN UNIVERSITARIOS,08:50:00,7
CULIACAN UNIVERSITARIOS,09:00:00,7
CULIACAN UNIVERSITARIOS,09:10:00,6
CULIACAN UNIVERSITARIOS,09:20:00,6
CULIACAN UNIVERSITARIOS,09:30:00,5
CULIACAN UNIVERSITARIOS,09:40:00,5
CULIACAN UNIVERSITARIOS,09:50:00,4
CULIACAN UNIVERSITARIOS,10:00:00,4
CULIACAN UNIVERSITARIOS,10:10:00,4
CULIACAN UNIVERSITARIOS,10:20:00,3
CULIACAN UNIVERSITARIOS,10:30:00,4
CULIACAN UNIVERSITARIOS,10:40:00,3
